Disease,symptom
Hepatitis E,yellowing_of_eyes
Hepatitis E,acute_liver_failure
Alcoholic hepatitis,vomiting
Alcoholic hepatitis,yellowish_skin
Alcoholic hepatitis,abdominal_pain
Alcoholic hepatitis,swelling_of_stomach
Alcoholic hepatitis,distention_of_abdomen
Alcoholic hepatitis,history_of_alcohol_consumption
Alcoholic hepatitis,fluid_overload
Tuberculosis,chills
Tuberculosis,vomiting
Tuberculosis,fatigue
Tuberculosis,weight_loss
Tuberculosis,cough
Tuberculosis,high_fever
Tuberculosis,breathlessness
Tuberculosis,sweating
Tuberculosis,loss_of_appetite
Tuberculosis,mild_fever
Tuberculosis,yellowing_of_eyes
Common Cold,continuous_sneezing
Common Cold,chills
Common Cold,fatigue
Common Cold,cough
Common Cold,high_fever
Common Cold,headache
Common Cold,swelled_lymph_nodes
Common Cold,malaise
Common Cold,phlegm
Common Cold,throat_irritation
Common Cold,redness_of_eyes
Pneumonia,chills
Pneumonia,fatigue
Pneumonia,cough
Pneumonia,high_fever
Pneumonia,breathlessness
Pneumonia,sweating
Pneumonia,malaise
Pneumonia,chest_pain
Pneumonia,fast_heart_rate
Pneumonia,rusty_sputum
Pneumonia,phlegm
Dimorphic hemmorhoids(piles),constipation
Dimorphic hemmorhoids(piles),pain_during_bowel_movements
Dimorphic hemmorhoids(piles),pain_in_anal_region
Dimorphic hemmorhoids(piles),bloody_stool
Dimorphic hemmorhoids(piles),irritation_in_anus
Heart attack,vomiting
Heart attack,breathlessness
Heart attack,sweating
Heart attack,chest_pain
Varicose veins,fatigue
Varicose veins,cramps
Varicose veins,bruising
Varicose veins,obesity
Varicose veins,swollen_legs
Varicose veins,swollen_blood_vessels
Varicose veins,prominent_veins_on_calf
Hypothyroidism,fatigue
Hypothyroidism,weight_gain
Hypothyroidism,cold_hands_and_feets
Hypothyroidism,mood_swings
Hypothyroidism,lethargy
Hypothyroidism,dizziness
Hypothyroidism,puffy_face_and_eyes
Hypothyroidism,enlarged_thyroid
Hypothyroidism,brittle_nails
Hypothyroidism,swollen_extremeties
Hypothyroidism,depression
Hyperthyroidism,fatigue
Hyperthyroidism,mood_swings
Hyperthyroidism,weight_loss
Hyperthyroidism,restlessness
Hyperthyroidism,sweating
Hyperthyroidism,diarrhoea
Hyperthyroidism,fast_heart_rate
Hyperthyroidism,excessive_hunger
Hyperthyroidism,muscle_weakness
Hyperthyroidism,irritability
Hyperthyroidism,abnormal_menstruation
Hypoglycemia,vomiting
Hypoglycemia,fatigue
Hypoglycemia,anxiety
Hypoglycemia,sweating
Hypoglycemia,headache
Hypoglycemia,nausea
Hypoglycemia,blurred_and_distorted_vision
Hypoglycemia,excessive_hunger
Hypoglycemia,slurred_speech
Hypoglycemia,irritability
Hypoglycemia,drying_and_tingling_lips
Osteoarthristis,joint_pain
Osteoarthristis,neck_pain
Osteoarthristis,knee_pain
Osteoarthristis,hip_joint_pain
Osteoarthristis,swelling_joints
Osteoarthristis,painful_walking
Arthritis,muscle_weakness
Arthritis,stiff_neck
Arthritis,swelling_joints
Arthritis,movement_stiffness
Arthritis,painful_walking
(vertigo) Paroymsal  Positional Vertigo,vomiting
(vertigo) Paroymsal  Positional Vertigo,headache
(vertigo) Paroymsal  Positional Vertigo,nausea
(vertigo) Paroymsal  Positional Vertigo,spinning_movements
(vertigo) Paroymsal  Positional Vertigo,loss_of_balance
(vertigo) Paroymsal  Positional Vertigo,unsteadiness
Acne,skin_rash
Acne,pus_filled_pimples
Acne,blackheads
Acne,scurring
Urinary tract infection,burning_micturition
Urinary tract infection,bladder_discomfort
Urinary tract infection,foul_smell_of urine
Urinary tract infection,continuous_feel_of_urine
Psoriasis,skin_rash
Psoriasis,joint_pain
Psoriasis,skin_peeling
Psoriasis,silver_like_dusting
Psoriasis,small_dents_in_nails
Psoriasis,inflammatory_nails
Impetigo,skin_rash
Impetigo,high_fever
Impetigo,blister
Impetigo,red_sore_around_nose
Impetigo,yellow_crust_ooze
